Bus Id,name,Bus Definition,bus_use,protocol,speed,topology,Writer,Receiver,notes,On aircraft ?,On FND ?,On Sim ?
ICM_1_TX,ICM acquisition bus 1,ICM_FCS,Pilot-control acquisition and FCC exchange,RS485,1Mbit/s,Shared,ICM-1,FCC-1;FCC-2;FCC-3;BPM,,TBD,TBD,TBD
ICM_2_TX,ICM acquisition bus 2,ICM_FCS,Pilot-control acquisition and FCC exchange,RS485,1Mbit/s,Shared,ICM-2,FCC-1;FCC-2;FCC-3;BPM,,TBD,TBD,TBD
ICM_3_TX,ICM acquisition bus 3,ICM_FCS,Pilot-control acquisition and FCC exchange,RS485,1Mbit/s,Shared,ICM-3,FCC-1;FCC-2;FCC-3;BPM,,TBD,TBD,TBD
FCS_PROP_CTRL_1,FCS Propulsion Control Bus 1,FCS_PROP_CTRL,Propulsion function hosted in FCS command and feedback exchange with nacelle,RS485,1Mbit/s,Shared,FCC-1;FCC-2;FCC-3;HICU-1,FCC-1;FCC-2;FCC-3;HICU-1,,TBD,TBD,TBD
FCS_PROP_CTRL_2,FCS Propulsion Control Bus 2,FCS_PROP_CTRL,Propulsion function hosted in FCS command and feedback exchange with nacelle,RS485,1Mbit/s,Shared,FCC-1;FCC-2;FCC-3;HICU-2,FCC-1;FCC-2;FCC-3;HICU-2,,TBD,TBD,TBD
FCS_PROP_CTRL_3,FCS Propulsion Control Bus 3,FCS_PROP_CTRL,Propulsion function hosted in FCS command and feedback exchange with nacelle,RS485,1Mbit/s,Shared,FCC-1;FCC-2;FCC-3;HICU-3,FCC-1;FCC-2;FCC-3;HICU-3,,TBD,TBD,TBD
FCS_PROP_CTRL_4,FCS Propulsion Control Bus 4,FCS_PROP_CTRL,Propulsion function hosted in FCS command and feedback exchange with nacelle,RS485,1Mbit/s,Shared,FCC-1;FCC-2;FCC-3;HICU-4,FCC-1;FCC-2;FCC-3;HICU-4,,TBD,TBD,TBD
BPM_PROP_CTRL,Backup Propulsion Command A429,BPM_PROP_CTRL,Independent backup propulsion command,ARINC 429,100kbit/s,Unidirectional,BPM,HICU-1;HICU-2;HICU-3;HICU-4,,TBD,TBD,TBD
IRU_1_TX,IRU 1 bus,IRU_TX,"IRU-1 attitude, rates and accelerations to avionics consumers",ARINC 429,TBD,Unidirectional,IRU,DCU;FCC-1;FCC-2;FCC-3;FMS-1;FMS-2;,,TBD,TBD,TBD
NAC_CTRL_1,Nacelle local control bus 1,NAC_CTRL,"Nacelle control bus: HICU commands / feedback with EMC-1, EMC-2 and EPECS; ESS pack (BMU) and MBMS status and command exchange",CAN (ARINC825),TBD,Unidirectional,HICU-1,HICU-1;EMC-1-1;EMC-1-2;EPECS-1;MBMS-1;BMU-1-1;BMU-1-2;BMU-1-3;BMU-1-4;BMU-1-5;BMU-1-6;BMU-1-7;BMU-1-8;BMU-1-9;BMU-1-10;BMU-1-11;BMU-1-12;IPTMS-1;BTMS-1;PCU-1;HVPDU-1,,TBD,TBD,TBD
NAC_CTRL_2,Nacelle local control bus 2,NAC_CTRL,"Nacelle control bus: HICU commands / feedback with EMC-1, EMC-2 and EPECS; ESS pack (BMU) and MBMS status and command exchange",CAN (ARINC825),TBD,Unidirectional,HICU-2,HICU-2;EMC-2-1;EMC-2-2;EPECS-2;MBMS-2;BMU-2-1;BMU-2-2;BMU-2-3;BMU-2-4;BMU-2-5;BMU-2-6;BMU-2-7;BMU-2-8;BMU-2-9;BMU-2-10;BMU-2-11;BMU-2-12;IPTMS-2;BTMS-1;PCU-2;HVPDU-2,,TBD,TBD,TBD
NAC_CTRL_3,Nacelle local control bus 3,NAC_CTRL,"Nacelle control bus: HICU commands / feedback with EMC-1, EMC-2 and EPECS; ESS pack (BMU) and MBMS status and command exchange",CAN (ARINC825),TBD,Unidirectional,HICU-3,HICU-3;EMC-3-1;EMC-3-2;EPECS-3;MBMS-3;BMU-3-1;BMU-3-2;BMU-3-3;BMU-3-4;BMU-3-5;BMU-3-6;BMU-3-7;BMU-3-8;BMU-3-9;BMU-3-10;BMU-3-11;BMU-3-12;IPTMS-3;BTMS-2;PCU-3;HVPDU-3,,TBD,TBD,TBD
NAC_CTRL_4,Nacelle local control bus 4,NAC_CTRL,"Nacelle control bus: HICU commands / feedback with EMC-1, EMC-2 and EPECS; ESS pack (BMU) and MBMS status and command exchange",CAN (ARINC825),TBD,Unidirectional,HICU-4,HICU-4;EMC-4-1;EMC-4-2;EPECS-4;MBMS-4;BMU-4-1;BMU-4-2;BMU-4-3;BMU-4-4;BMU-4-5;BMU-4-6;BMU-4-7;BMU-4-8;BMU-4-9;BMU-4-10;BMU-4-11;BMU-4-12;IPTMS-4;BTMS-2;PCU-4;HVPDU-4,,TBD,TBD,TBD
AVIO_HS_1,Avionics high speed - loop 1,AVIO_HS,Aircraft-wide main avionics high speed bus,TSP,1Mbit/s,Shared,HICU-1;HICU-2;FCC-1;FCC-2;FCC-3;IMA;FMS-1;FMS-2;MMS,HICU-1;HICU-2;FCC-1;FCC-2;FCC-3;IMA;FMS-1;FMS-2;MMS,,TBD,TBD,TBD
AVIO_HS_2,Avionics high speed - loop 2,AVIO_HS,Aircraft-wide main avionics high speed bus,TSP,1Mbit/s,Shared,HICU-1;HICU-2;FCC-1;FCC-2;FCC-3;IMA;FMS-1;FMS-2;MMS,HICU-3;HICU-4;FCC-1;FCC-2;FCC-3;IMA;FMS-1;FMS-2;MMS,,TBD,TBD,TBD
FCC_1_STATUS_TX,FCC feedback bus 1,FCC_STATUS_TX,"Low-integrity FCC status broadcast to avionics for redistribution; only specific, pertinent data, not flight-critical",TBD,TBD,Unidirectional,FCC-1,DCU;FMS-1;FMS-2;MMS,,TBD,TBD,TBD
FCC_2_STATUS_TX,FCC feedback bus 2,FCC_STATUS_TX,"Low-integrity FCC status broadcast to avionics for redistribution; only specific, pertinent data, not flight-critical",TBD,TBD,Unidirectional,FCC-2,DCU;FMS-1;FMS-2;MMS,,TBD,TBD,TBD
FCC_3_STATUS_TX,FCC feedback bus 3,FCC_STATUS_TX,"Low-integrity FCC status broadcast to avionics for redistribution; only specific, pertinent data, not flight-critical",TBD,TBD,Unidirectional,FCC-3,DCU;FMS-1;FMS-2;MMS,,TBD,TBD,TBD
FMS_1_TX,FMS output bus 1,FMS_TX,Flight Management system,ARINC 429,100kbit/s,Unidirectional,FMS-1,DCU;FCC-1;FCC-2;FCC-3,,TBD,TBD,TBD
FMS_2_TX,FMS output bus 2,FMS_TX,Flight Management system,ARINC 429,100kbit/s,Unidirectional,FMS-2,DCU;FCC-1;FCC-2;FCC-3,,TBD,TBD,TBD
ADC_TX_1,ADC bus 1,ADC_TX,Air Data information,A429,100kbit/s,Unidirectional,ADC,FCC-1;FCC-2;FCC-3;DCU,,,,
