Signal Id,Physical Id,Signal Name,Signal Role,Abbreviation,Physical System,Signal Owner,Repeated Per,Related to,Endpoint Name,Connection Type,Interface Type,Data Type,Unit,Minimum,Maximum,Derivation,Notes,On aircraft ?,On FND ?,On Sim ?
SIG-001,PHYS-020,Electric Motor Torque,Measurement,EM_Tq,EM,HICU,,,Electric Motor Torque,Torque sensor at gearbox,Analog,,,,,,,Yes,TBD,TBD
SIG-002,PHYS-022,Electric Motor Current,Measurement,EM_I,EMC,EMC,,,Electric Motor Current,Current sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-003,PHYS-023,Electric Motor Voltage,Measurement,EM_V,EMC,EMC,,,Electric Motor Voltage,Voltage sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-004,PHYS-024,Electric Motor Speed,Measurement,EM_RPM,EMC,EMC,,,Electric Motor Speed,Speed sensor,Analog,,,,,,,Yes,TBD,TBD
SIG-005,PHYS-025,Electric Motor Coolant Delta Pressure,Measurement,EM_dP,IPTMS,IPTMS,NAC;EM,,Electric Motor Coolant Delta Pressure,Differential pressure sensor,Analog,,,,,,Per-motor detail within IPTMS Loop 1; acquired and reported by IPTMS.,Yes,TBD,TBD
SIG-006,PHYS-026,Electric Motor Coolant Outlet Temperature,Measurement,EM_Tout,IPTMS,IPTMS,NAC;EM,,Electric Motor Coolant Outlet Temperature,Temperature sensor,Analog,,,,,,Per-motor detail within IPTMS Loop 1; acquired and reported by IPTMS.,Yes,TBD,TBD
SIG-007,PHYS-001,Power Lever Position,Measurement,PLA,CKPT,ICM,,,Power Lever RVDT,RVDT,Analog,,,-1,1,,,Yes,No,Yes
SIG-010,PHYS-001,Power Lever Position,Measurement,PLA,CKPT,BPM,,,Power Lever Potentiometer,Potentiometer,Analog,,,,,,,Yes,TBD,TBD
SIG-011,PHYS-001,Power Lever Position,Measurement,PLA,CKPT,ICM,,,Power Lever Idle Proximity,Proximity switch,Discrete,,,,,,,Yes,TBD,TBD
SIG-012,PHYS-002,Flap Lever Position,Measurement,FLAP_LEVER,CKPT,ICM,,,Flap Lever position RVDT,RVDT,Analog,,,,,,,Yes,TBD,TBD
SIG-014,PHYS-006,Turbine Operational Mode Selector,Measurement,TURB_MODE,CKPT,ICM,NAC,,Turbine Operational Mode Selector Acquisition,Multiposition selector,Discrete,,,,,,,Yes,TBD,TBD
SIG-015,PHYS-030,Propeller Blade Angle,Measurement,Beta,PROPELLER,PCU,,,Propeller Blade Angle Control Path,Beta probes / ring,Analog,,,,,,,Yes,TBD,TBD
SIG-016,PHYS-030,Propeller Blade Angle,Measurement,Beta,PROPELLER,PCU,,,Propeller Blade Angle Protection Path,Beta probes / ring,Analog,,,,,,,Yes,TBD,TBD
SIG-017,PHYS-031,Propeller Speed,Measurement,Np,PROPELLER,EPECS,,,Propeller Speed,Beta probes / ring,Analog,,,,,,,Yes,TBD,TBD
SIG-018,PHYS-032,Fuel Temperature,Measurement,TF,FCU,EPECS,,,Fuel Temperature,RTD / TBD,Analog,,,,,,,Yes,TBD,TBD
